year,state,county_name,county_fips,party,candidatevotes,totalvotes
2020,OKLAHOMA,WASHINGTON,40147,DEMOCRAT,3126,23501
2004,ILLINOIS,PIATT,17147,DEMOCRAT,3124,8586
2012,MARYLAND,GARRETT,24023,DEMOCRAT,3124,13157
2020,ARKANSAS,MILLER,5091,DEMOCRAT,3123,16529
2008,VIRGINIA,GREENSVILLE,51081,DEMOCRAT,3122,4887
2016,CALIFORNIA,MARIPOSA,6043,DEMOCRAT,3122,8877
2008,MISSISSIPPI,CLARKE,28023,DEMOCRAT,3121,8372
2016,MONTANA,GLACIER,30035,DEMOCRAT,3121,5075
2016,NEW MEXICO,CURRY,35009,DEMOCRAT,3121,13370
2020,VIRGINIA,CLARKE,51043,DEMOCRAT,3121,9337
2004,KANSAS,ATCHISON,20005,DEMOCRAT,3120,7118
2012,COLORADO,CLEAR CREEK,8019,DEMOCRAT,3119,5743
2020,ALASKA,DISTRICT 19,2019,DEMOCRAT,3118,5301
2000,CALIFORNIA,DEL NORTE,6015,DEMOCRAT,3117,8294
2004,MINNESOTA,PENNINGTON,27113,DEMOCRAT,3117,7017
2012,KANSAS,LABETTE,20099,DEMOCRAT,3117,8037
2000,OKLAHOMA,CUSTER,40039,DEMOCRAT,3115,9743
2000,NORTH CAROLINA,POLK,37149,DEMOCRAT,3114,8303
2008,MISSISSIPPI,NESHOBA,28099,DEMOCRAT,3114,11352
2000,ILLINOIS,CARROLL,17015,DEMOCRAT,3113,7177
2020,UTAH,SAN JUAN,49037,DEMOCRAT,3113,6877
2004,INDIANA,WELLS,18179,DEMOCRAT,3112,12354
2004,VIRGINIA,POWHATAN,51145,DEMOCRAT,3112,12163
2008,KENTUCKY,GRANT,21081,DEMOCRAT,3112,8754
2012,MISSISSIPPI,CLARKE,28023,DEMOCRAT,3111,8253
2020,IOWA,WARREN,19181,DEMOCRAT,3111,31039
2004,ARKANSAS,ARKANSAS,5001,DEMOCRAT,3110,6946
2008,KENTUCKY,BRECKINRIDGE,21027,DEMOCRAT,3110,8522
2020,OHIO,PIKE,39131,DEMOCRAT,3110,12412
2000,VIRGINIA,FALLS CHURCH,51610,DEMOCRAT,3109,5593
